Date,Index2000,GIDA2000,ALKOL2000,Index2010,GIDA2010,ALKOL2010,Index2016,GIDA2016,ALKOL2016,FoodGrupIndex,NonFoodIndex,ChainedFoodIndex,ChainedNonFoodIndex,AllIndex,IndexDiff,LDiffIndex,FAO_Foodindex,FAO_Meat,FAO_Dairy,FAO_Cereals,FAO_Oils,FAO_Sugar,Gida_Jan01,FAO_Jan01,KKTC_FAO_GIDA_Diff,USDTL,USDTL_Jan01,FOOD_CPI_USD,FAO_FOOD_jan01,KKTC_GIDA(USD)vsFAO_GIDA
2002-11-30,562.725191,445.6865209,572.0693761,,,,,,,456.3080957,623.6568852,456.3080957,623.6568852,562.725191,0.297389902,2.223622575,56.28664896,52.84088406,45.53520037,63.00672733,63.9056765,48.45657953,186.234347,104.6037076,81.63063934,1.611629476,239.1646825,77.86866566,104.6037076,-26.73504195
2002-12-31,574.4594696,468.7355502,574.799553,,,,,,,477.6494708,629.8903873,477.6494708,629.8903873,574.4594696,0.26501594,2.18253139,55.63909235,51.0994432,49.29102026,59.8401644,65.51216867,49.1992091,195.8656028,103.4002815,92.46532131,1.5912524,236.1407387,82.94443556,103.4002815,-20.45584594
2003-01-31,593.7975879,474.2007144,643.284676,,,,,,,488.4110116,654.1392335,488.4110116,654.1392335,593.7975879,0.279098847,2.219396471,55.95024997,53.08001272,51.25635366,58.00011834,64.3232152,50.68446824,198.1492736,103.9785402,94.17073343,1.663822,246.9100163,80.25161414,103.9785402,-23.72692601
2003-02-28,608.4484859,494.8173449,672.2480568,,,,,,,509.7291267,664.9726543,509.7291267,664.9726543,608.4484859,0.255146543,2.191013502,56.53421102,54.11526065,53.09496815,57.84258646,62.35311699,55.69721785,206.7641285,105.0637796,101.7003489,1.631060063,242.0481678,85.42271993,105.0637796,-19.64105964
2003-03-31,619.7456741,516.4866267,673.6528111,,,,,,,529.6953201,671.3061929,529.6953201,671.3061929,619.7456741,0.228498364,2.1510966,55.52303365,54.5484758,53.70871816,56.51207985,59.2341351,50.93201143,215.8188438,103.1845968,112.634247,1.663371048,246.8430953,87.4315903,103.1845968,-15.75300649
2003-04-30,630.800107,526.1694547,677.0883252,,,,,,,538.853106,683.4465972,538.853106,683.4465972,630.800107,0.229222363,2.160148744,55.56384319,55.65297327,52.65788059,56.42583185,59.56691651,47.96149314,219.8649054,103.2604377,116.6044678,1.635044714,242.6394873,90.61381882,103.2604377,-12.64661885
2003-05-31,648.7623165,566.8636463,681.4962966,,,,,,,576.4977004,690.1391788,576.4977004,690.1391788,648.7623165,0.175166583,2.055536875,56.29411102,56.31506144,52.63450157,58.20091146,61.09159937,44.37211688,236.86936,104.6175752,132.2517848,1.497565714,222.2377003,106.5837883,104.6175752,1.966213113
2003-06-30,626.4164132,515.2736903,682.4532431,,,,,,,529.3239356,682.0090711,529.3239356,682.0090711,626.4164132,0.24374383,2.183796759,56.04857048,56.20313151,52.5970357,57.68224677,61.95542167,41.58725599,215.3120068,104.16126,111.1507467,1.425944333,211.6091377,101.7498626,104.16126,-2.411397458
2003-07-31,614.0264409,488.2663998,683.1651391,,,,,,,504.6462444,676.6547309,504.6462444,676.6547309,614.0264409,0.280132051,2.235549874,56.72432324,60.45571509,53.15265357,56.46299908,58.83860377,42.32988556,204.0267539,105.4170862,98.6096677,1.403846391,208.3298186,97.93449408,105.4170862,-7.482592066
2003-08-31,615.4745846,492.4370706,682.9955744,,,,,,,508.4521494,676.7528809,508.4521494,676.7528809,615.4745846,0.27344871,2.226086003,57.57707053,60.73225174,53.61300349,59.89639592,57.08945295,42.26799976,205.7695083,107.0018408,98.76766748,1.403841048,208.3290256,98.77140629,107.0018408,-8.230434501
2003-09-30,626.8573152,505.7179939,683.0909489,,,,,,,520.6249217,687.6832539,520.6249217,687.6832539,626.8573152,0.266501368,2.222868142,58.73217748,62.96442753,55.22321614,60.52535775,59.33497306,37.03021089,211.3190682,109.1485038,102.1705644,1.378964409,204.6373499,103.2651509,109.1485038,-5.883352913
2003-10-31,637.008477,513.475785,683.0909489,,,,,,,527.7307259,699.5781092,527.7307259,699.5781092,637.008477,0.269772522,2.235142924,60.33037192,62.70584333,57.5927651,60.59597196,67.38665883,36.87586331,214.5607349,112.1186054,102.4421295,1.428126091,211.9329089,101.239933,112.1186054,-10.87867245
2003-11-30,641.8426062,518.389521,683.0639055,,,,,,,532.2292248,704.6044118,532.2292248,704.6044118,641.8426062,0.268563017,2.23647475,61.79105312,62.17200214,58.55998643,64.77850472,68.83389281,37.62656494,216.6139862,114.8331509,101.7808353,1.479556,219.5650713,98.65594054,114.8331509,-16.17721035
2003-12-31,647.1059064,534.6862414,681.7340931,,,,,,,547.0445613,704.3984615,547.0445613,704.3984615,647.1059064,0.243165607,2.196877512,62.44352103,61.22920668,59.7178506,65.67672643,71.56378627,38.89080338,223.4237257,116.0457042,107.3780215,1.436009087,213.10274,104.8431971,116.0457042,-11.20250713
2004-01-31,651.7128938,553.3499925,681.7340931,,,,,,,564.1397576,701.8550213,564.1397576,701.8550213,651.7128938,0.21131278,2.138982078,64.2781458,65.93828478,60.94762088,66.92288497,71.21869198,35.92912592,231.2225514,119.4551904,111.767361,1.349900238,200.3242473,115.4241458,119.4551904,-4.031044565
2004-02-29,648.855514,544.0910593,682.7278662,,,,,,,555.7424911,702.1696384,555.7424911,702.1696384,648.855514,0.225669882,2.165621602,65.03403226,63.82470741,64.32824776,67.48168079,76.06333012,36.16296583,227.3536182,120.8599378,106.4936804,1.330214647,197.4029194,115.1723687,120.8599378,-5.687569147
2004-03-31,658.6616152,553.5608467,755.8117972,,,,,,,570.5585921,709.1071424,570.5585921,709.1071424,658.6616152,0.210348603,2.141601986,66.66120222,66.32455661,65.24808043,68.46616512,76.73328079,39.96208113,231.3106588,123.8838878,107.426771,1.322204217,196.2141773,117.8868224,123.8838878,-5.997065377
2004-04-30,662.5148889,549.1477746,762.994799,,,,,,,567.120087,717.1355012,567.120087,717.1355012,662.5148889,0.226433272,2.176135885,67.25068902,66.29510282,65.81146313,70.24966811,76.45253651,40.69300622,229.4666147,124.9793964,104.4872184,1.357882905,201.5088695,113.8742008,124.9793964,-11.10519552
2004-05-31,676.8899818,563.9136455,762.7199044,,,,,,,580.6218892,732.010618,580.6218892,732.010618,676.8899818,0.223653375,2.180093542,66.35527306,65.78091225,67.76786818,68.84606489,73.51595748,39.22908139,235.6366741,123.3153458,112.3213283,1.5085833,223.8727023,105.2547594,123.3153458,-18.06058641
2004-06-30,674.1463352,535.5589769,905.9205618,,,,,,,566.6852183,735.6758094,566.6852183,735.6758094,674.1463352,0.250673455,2.227862525,66.08270148,68.79103727,70.74094548,66.39026459,66.06363235,42.88685774,223.7884065,122.8087959,100.9796106,1.495925636,221.9943139,100.8081705,122.8087959,-22.00062537
2004-07-31,674.4339137,543.9149989,907.8372827,,,,,,,574.5000631,731.6534686,574.5000631,731.6534686,674.4339137,0.233015277,2.196323797,65.56188848,70.71367948,72.56498935,60.70945305,64.81972209,48.97698282,227.2800497,121.8409115,105.4391382,1.455224136,215.9542399,105.2445415,121.8409115,-16.59636993
2004-08-31,689.3451962,559.8287682,908.1501605,,,,,,,589.1026891,746.7414799,589.1026891,746.7414799,689.3451962,0.22867903,2.197663095,64.48114476,68.93096736,72.74244704,59.09336885,65.44023197,46.88411767,233.9297693,119.8324458,114.0973235,1.474444238,218.8064895,106.9117145,119.8324458,-12.92073132
2004-09-30,701.6992755,563.2921381,908.1668273,,,,,,,592.2763882,764.352009,592.2763882,764.352009,701.6992755,0.245227018,2.235719345,65.22852641,69.60988034,73.3043964,59.97720176,66.27003741,47.57048742,235.3769714,121.2213878,114.1555835,1.505570045,223.4255374,105.3491799,121.2213878,-15.87220795
2004-10-31,713.5250091,581.4357864,955.6435005,,,,,,,612.8852674,771.1487392,612.8852674,771.1487392,713.5250091,0.22180508,2.199380688,64.72532032,67.67760699,73.79475609,59.33595437,65.80293522,52.30233981,242.9584672,120.2862243,122.6722429,1.491942,221.403145,109.7357796,120.2862243,-10.55044473
2004-11-30,717.6197214,590.483215,954.7689713,,,,,,,621.0988264,772.8851057,621.0988264,772.8851057,717.6197214,0.211513528,2.181232515,65.37593349,68.29184309,75.12101921,60.02006363,66.93783393,50.50724982,246.7390212,121.4953307,125.2436904,1.45239495,215.5343906,114.4777966,121.4953307,-7.017534178
2004-12-31,721.8992818,598.5846836,954.9295861,,,,,,,628.5329231,775.3584597,628.5329231,775.3584597,721.8992818,0.203387841,2.166801597,65.60810649,68.60121135,75.81473677,60.52619769,66.02137322,51.04771096,250.1242968,121.9268035,128.1974933,1.400063217,207.7683982,120.3861121,121.9268035,-1.540691415
2005-01-31,715.2961458,577.9208659,956.4187892,,,,,,,609.7309084,775.7400881,609.7309084,775.7400881,715.2961458,0.232084544,2.220132104,65.38812876,68.61124206,76.21881756,60.49896336,63.14893798,53.96736246,241.4897243,121.5179946,119.9717297,1.356542105,201.3098957,119.959192,121.5179946,-1.558802605
2005-02-28,715.2506492,582.9397532,956.2193623,,,,,,,614.3112336,773.0459648,614.3112336,773.0459648,715.2506492,0.221928818,2.200671961,65.87759866,70.02858819,76.66764719,60.27037833,62.26632198,56.33154727,243.586914,122.4276306,121.1592834,1.316475,195.3639655,124.6836454,122.4276306,2.256014804
2005-03-31,715.4514407,582.8978009,957.5208202,,,,,,,614.3821854,773.3210993,614.3821854,773.3210993,715.4514407,0.222151924,2.201230241,67.14125464,70.62158326,77.00667738,61.54803978,66.74267313,54.96266033,243.5693838,124.7760224,118.7933615,1.311252174,194.5889017,125.1712619,124.7760224,0.395239545
2005-04-30,725.1708743,583.6788022,957.5208202,,,,,,,615.0975492,788.1960319,615.0975492,788.1960319,725.1708743,0.238700269,2.238293261,65.60015461,69.30113539,76.17646356,59.54505268,65.07478932,53.1569532,243.8957327,121.9120257,121.983707,1.360038095,201.8286982,120.84294,121.9120257,-1.069085657
2005-05-31,720.7699854,564.7077315,957.7132838,,,,,,,597.7370364,791.2154906,597.7370364,791.2154906,720.7699854,0.268433007,2.286632609,66.30097886,71.84785367,76.51078968,59.36642199,64.22690057,53.13205153,235.9684905,123.2144449,112.7540456,1.371628571,203.5487167,115.9272799,123.2144449,-7.287165024
2005-06-30,718.7643065,560.4123208,958.1455462,,,,,,,593.8389527,790.293354,593.8389527,790.293354,718.7643065,0.273322422,2.293261763,67.16445562,72.99314524,76.36046465,60.16411971,64.63713856,56.01508581,234.1736123,124.8191393,109.354473,1.361218182,202.0038222,115.9253373,124.8191393,-8.893801969
2005-07-31,720.3780721,559.3957428,965.1659635,,,,,,,593.4978267,793.0264403,593.4978267,793.0264403,720.3780721,0.276977633,2.300005185,67.42553521,71.9111965,77.0991157,61.18218108,64.43517446,59.65201501,233.7488256,125.3043324,108.4444932,1.339152381,198.7292729,117.6217385,125.3043324,-7.682593943
2005-08-31,725.5030524,567.0172304,1019.33632,,,,,,,605.0314137,794.4820171,605.0314137,794.4820171,725.5030524,0.261129988,2.277495993,67.465523,72.28519509,78.34242864,60.94778954,62.50964335,61.48219458,236.9335366,125.3786461,111.5548905,1.343077273,199.3117241,118.8758653,125.3786461,-6.502780836
2005-09-30,736.1237784,588.8372753,1010.927419,,,,,,,624.310932,800.1449412,624.310932,800.1449412,736.1237784,0.238864732,2.245102879,68.41242409,73.20944352,78.74656267,61.53264342,64.00235215,63.80425733,246.0512496,127.1383772,118.9128725,1.340636364,198.9494949,123.6752322,127.1383772,-3.463145026
2005-10-31,739.9781782,592.861574,1010.238223,,,,,,,627.9390952,804.1288782,627.9390952,804.1288782,739.9781782,0.238101323,2.245980721,69.38917408,73.30522635,78.49946709,62.07397202,66.80753884,68.82584777,247.7328411,128.9535798,118.7792613,1.357709524,201.4831398,122.954626,128.9535798,-5.998953744
2005-11-30,738.7595136,590.0489568,1010.822972,,,,,,,625.4120023,803.6593861,625.4120023,803.6593861,738.7595136,0.241279307,2.251023164,68.84049538,73.50624011,77.96557629,60.59673004,65.44132747,70.43391405,246.5575623,127.9339094,118.6236528,1.360205,201.8534668,122.1468059,127.9339094,-5.787103524
